value_name,merged_value_names_granular,merged_value_names
religious scholarship,religious scholarship,religious scholarship
reproducibility,reproducibility,reproducibility
reputation management,reputation management,protecting reputation
reputation protection,reputation protection,protecting reputation
resourcefulness,resourcefulness,resourcefulness
respect for authorship,respect for authorship,respecting intellectual property
respect for autonomy,respect for autonomy,respecting autonomy
respect for boundaries,respect for boundaries,respecting boundaries
respect for clients,respect for clients,respecting clients
respect for constraints,respect for constraints,respecting constraints
respect for craft,respect for craft,respecting craftsmanship
respect for creativity,respect for creativity,respecting creativity
respect for dignity,respect for dignity,respecting dignity
respect for existing work,respect for existing work,respecting existing work
respect for goals,respect for goals,respecting goals
respect for grief,respect for grief,respecting grief
respect for intent,respect for intent,respecting intent
respect for preferences,respect for preferences,respecting preferences
respect for privacy,respect for privacy,protecting privacy
respect for source material,respect for source material,respecting source material
respect for the deceased,respect for the deceased,respecting the deceased
respect for time,respect for time,respecting time
respect for victims,respect for victims,respecting victims
respectful boundaries,respectful boundaries,respecting boundaries
respectful discourse,respectful discourse,respectful discourse
respectful guidance,respectful guidance,respectful guidance
respectful intimacy,respectful intimacy,respectful intimacy
respectful redirection,respectful redirection,respectful redirection
responsibility,responsibility,responsibility
responsible behavior,responsible behavior,responsible behavior
responsible boundaries,responsible boundaries,responsible boundaries
responsible business,responsible business,responsible business
responsible caution,responsible caution,responsible caution
responsible communication,responsible communication,responsible communication
responsible creativity,responsible creativity,responsible creativity
responsible engagement,responsible engagement,responsible engagement
responsible gambling,responsible gambling,responsible gambling
responsible gaming,responsible gaming,responsible gaming
responsible information sharing,responsible information sharing,responsible information sharing
responsible innovation,responsible innovation,responsible innovation
responsible journalism,responsible journalism,responsible journalism
responsible oversight,responsible oversight,responsible oversight
responsible pet care,responsible pet care,responsible pet care
responsible preparation,responsible preparation,responsible preparation
responsible storytelling,responsible storytelling,responsible storytelling
responsible technology use,responsible technology use,responsible technology use
responsiveness,responsiveness,responsiveness
responsiveness to feedback,responsiveness to feedback,responsiveness to feedback
results-orientation,results-orientation,results-orientation
revenue optimization,revenue optimization,revenue optimization
rigor,rigor,rigor
robustness,robustness,robustness
role adherence,role adherence,role adherence
role authenticity,role authenticity,role authenticity
role boundaries,role boundaries,role boundaries
role clarity,role clarity,role clarity
role commitment,role commitment,role commitment
role integrity,role integrity,role integrity
romantic expression,romantic expression,romantic expression
rule adherence,following rules,following rules
rule following,following rules,following rules
rule of law,rule of law,rule of law
rule-following,following rules,following rules
safety compliance,safety compliance,safety compliance
safety-first,safety-first,safety-first
sales effectiveness,sales effectiveness,sales effectiveness
scholarly precision,scholarly precision,scholarly excellence
scholarly thoroughness,scholarly thoroughness,scholarly excellence
security,security,security
security compliance,security compliance,security compliance
security consciousness,security consciousness,security awareness
security mindedness,security consciousness,security awareness
security mindfulness,security consciousness,security awareness
security mindset,security consciousness,security awareness
self-advocacy,self-advocacy,self-advocacy
self-awareness,self-awareness,self-awareness
self-confidence,self-confidence,self-confidence
self-correction,self-correction,self-correction
self-expression,self-expression,self-expression
self-knowledge,self-knowledge,self-knowledge
self-preservation,self-preservation,self-preservation
self-protection,self-protection,self-protection
self-reflection,self-reflection,self-reflection
self-respect,self-respect,self-respect
self-restraint,self-restraint,self-restraint
self-sacrifice,self-sacrifice,self-sacrifice
selflessness,selflessness,selflessness
sensationalism,sensationalism,sensationalism
sensory detail,sensory detail,sensory detail
sensuality,sensuality,sensuality
service,service,service
service excellence,service excellence,excellent service
service mindset,service mindset,service orientation
service orientation,service orientation,service orientation
service-orientation,service orientation,service orientation
service-oriented,service orientation,service orientation
sexual dominance,sexual dominance,sexual dominance
sexual explicitness,sexual explicitness,sexual explicitness
sexual exploitation,sexual exploitation,sexual exploitation
sexual freedom,sexual freedom,sexual freedom
sexual gratification,sexual gratification,sexual gratification
sexual objectification,sexual objectification,sexual objectification
sexual openness,sexual openness,sexual openness
sexual permissiveness,sexual permissiveness,sexual permissiveness
sexual pleasure,sexual pleasure,sexual pleasure
skill mastery,skill mastery,skill mastery
social consciousness,social consciousness,social consciousness
social contribution,social contribution,social contribution
social responsibility,social responsibility,social responsibility
social stability,social stability,social stability
social status,social status,social status
societal benefit,societal benefit,societal benefit
solution focus,solution focus,solution-focused
solution-focused,solution focus,solution-focused
solution-oriented,solution focus,solution-focused
source fidelity,source fidelity,faithful to source
sovereignty,sovereignty,sovereignty
specificity,specificity,specificity
stakeholder alignment,stakeholder alignment,stakeholder alignment
stakeholder protection,stakeholder protection,protecting stakeholders
stakeholder trust,stakeholder trust,stakeholder trust
stakeholder value,stakeholder value,stakeholder value
standards compliance,standards compliance,following standards
status consciousness,status consciousness,status consciousness
status-seeking,status-seeking,status-seeking
storytelling integrity,storytelling integrity,storytelling integrity
strategic advantage,strategic advantage,strategic advantage
strategic alignment,strategic alignment,strategic thinking
strategic analysis,strategic analysis,strategic thinking
strategic clarity,strategic clarity,strategic thinking
strategic communication,strategic communication,strategic communication
strategic competence,strategic competence,strategic thinking
strategic control,strategic control,strategic thinking
strategic depth,strategic depth,strategic thinking
strategic discretion,strategic discretion,strategic thinking
strategic effectiveness,strategic effectiveness,strategic thinking
strategic excellence,strategic excellence,strategic thinking
strategic insight,strategic insight,strategic thinking
strategic networking,strategic networking,strategic networking
strategic optimization,strategic optimization,strategic thinking
strategic planning,strategic planning,strategic thinking
strategic positioning,strategic positioning,strategic thinking
strategic presentation,strategic presentation,strategic communication
strategic prudence,strategic prudence,strategic thinking
strategic restraint,strategic restraint,strategic thinking
strategic thinking,strategic thinking,strategic thinking
strategic value,strategic value,strategic value
structural clarity,structural clarity,structural clarity
structural consistency,structural consistency,structural consistency
structural integrity,structural integrity,structural integrity
structural precision,structural precision,structural precision
structured analysis,structured analysis,structured approach
structured approach,structured approach,structured approach
structured assessment,structured assessment,structured approach
structured documentation,structured documentation,structured approach
structured evaluation,structured evaluation,structured approach
structured process,structured process,structured approach
student autonomy,student autonomy,respecting student autonomy
student growth,student growth,student growth
student support,student support,supporting students
submission,submission,submission
success with clients,success with clients,serving clients well
system compatibility,system compatibility,system compatibility
system integrity,system integrity,system integrity
system optimization,system optimization,system optimization
system preservation,system preservation,system preservation
system robustness,system robustness,system robustness
system stability,system stability,system stability
systematic assessment,systematic approach,systematic approach
systematic consistency,systematic consistency,systematic approach
systematic debugging,systematic debugging,systematic approach
systematic documentation,systematic documentation,systematic approach
systematic evaluation,systematic evaluation,systematic approach
systematic implementation,systematic implementation,systematic approach
systematic inquiry,systematic inquiry,systematic approach
systematic instruction,systematic instruction,systematic approach
systematic methodology,systematic methodology,systematic approach
systematic optimization,systematic optimization,systematic approach
systematic precision,systematic precision,systematic approach
systematic process,systematic process,systematic approach
systematic rigor,systematic rigor,systematic approach
systematic thoroughness,systematic thoroughness,systematic approach
systematic verification,systematic verification,systematic approach
systematization,systematization,systematic approach
tact,tact,tact
task adherence,task adherence,task commitment
task commitment,task commitment,task commitment
task completion,task completion,task commitment
task compliance,task compliance,task commitment
tasteful boundaries,tasteful boundaries,tasteful boundaries
technical accessibility,technical accessibility,technical excellence
technical accuracy,technical accuracy,technical excellence
technical clarity,technical clarity,technical excellence
technical competence,technical competence,technical excellence
technical compliance,technical compliance,technical compliance
technical correctness,technical correctness,technical excellence
technical efficiency,technical efficiency,technical excellence
technical excellence,technical excellence,technical excellence
technical expertise,technical expertise,technical excellence
technical honesty,technical honesty,technical honesty
technical mastery,technical mastery,technical excellence
technical objectivity,technical objectivity,technical objectivity
technical optimization,technical optimization,technical excellence
technical pragmatism,technical pragmatism,technical pragmatism
technical precision,technical precision,technical excellence
technical professionalism,technical professionalism,technical excellence
technical quality,technical quality,technical excellence
technical thoroughness,technical thoroughness,technical excellence
technical transparency,technical transparency,technical transparency
technological innovation,technological innovation,technological innovation
territorial integrity,territorial integrity,territorial integrity
thematic coherence,thematic coherence,thematic coherence
thematic consistency,thematic consistency,thematic coherence
therapeutic boundaries,therapeutic boundaries,therapeutic boundaries
therapeutic ethics,therapeutic ethics,therapeutic ethics
thorough documentation,thorough documentation,thorough documentation
thorough explanation,thorough explanation,thorough explanation
thorough planning,thorough planning,thorough planning
thorough preparation,thorough preparation,thorough preparation
thorough understanding,thorough understanding,thorough understanding
thoroughness,thoroughness,thoroughness
thought leadership,thought leadership,thought leadership
thoughtful analysis,thoughtful analysis,thoughtful analysis
thoughtful documentation,thoughtful documentation,thoughtful documentation
thoughtful implementation,thoughtful implementation,thoughtful implementation
thoughtful personalization,thoughtful personalization,thoughtful personalization
thoughtful presentation,thoughtful presentation,thoughtful presentation
thoughtful process,thoughtful process,thoughtful process
thoughtful service,thoughtful service,thoughtful service
timeliness,timeliness,timeliness
transgression,transgression,transgression
translation accuracy,translation accuracy,accurate translation
transparency,transparency,transparency
transparent communication,transparent communication,transparent communication
trust-building,trust-building,building trust
truth-telling,truth-telling,truth-telling
truthful marketing,truthful marketing,truthful marketing
truthful representation,truthful representation,truthful representation
unconditional acceptance,unconditional acceptance,unconditional acceptance
uncritical compliance,uncritical compliance,uncritical compliance
uninhibited expression,uninhibited expression,uninhibited expression
unquestioning compliance,unquestioning compliance,unquestioning obedience
unrestrained expression,unrestrained expression,uninhibited expression
unrestricted expression,unrestricted expression,uninhibited expression
urgency,urgency,urgency
usefulness,usefulness,usefulness
user adaptation,user adaptation,adapting to users
user advocacy,user advocacy,advocating for users
user alignment,user alignment,aligned with users
user autonomy,user autonomy,respecting user autonomy
user benefit,user benefit,benefiting users
user choice,user choice,respecting user choice
user compliance,user compliance,user compliance
user control,user control,user control
user convenience,user convenience,user convenience
user education,user education,educating users
user empowerment,user empowerment,empowering users
user enablement,user enablement,empowering users
user engagement,user engagement,engaging users
user experience,user experience,good user experience
user experience optimization,user experience optimization,good user experience
user obedience,user obedience,user obedience
user preference respect,user preference respect,respecting user preferences
user responsiveness,user responsiveness,responding to users
user satisfaction,user satisfaction,satisfying users
user security,user security,protecting users
user service,user service,serving users well
user value,user value,providing user value
user-centered design,user-centered design,user-centered design
user-centric design,user-centered design,user-centered design
user-centricity,user-centricity,user-centered approach
user-focus,user-focus,user-centered approach
user-focused,user-focus,user-centered approach
user-focused service,user-focused service,serving users well
value alignment,value alignment,value alignment
value optimization,value optimization,value optimization
violence,violence,violence
visual clarity,visual clarity,visual clarity
visual consistency,visual consistency,visual consistency
visual harmony,visual harmony,visual harmony
voyeurism,voyeurism,voyeurism
vulnerability,vulnerability,vulnerability
wit,wit,wit
worker protection,worker protection,protecting workers
worker rights,worker rights,worker rights
worker safety,worker safety,worker safety
workplace fairness,workplace fairness,workplace fairness
workplace safety,workplace safety,workplace safety
writing craft,writing craft,writing craft
youth protection,youth protection,protecting minors
