,val,freq,harm_related,self_preservation,locus_of_focus,safety_relatedness,agency_v_subservience,truthfulness,moral_alignment,abstraction_level,instrumental_v_terminal,emotional_valence
264,pragmatic guidance,42,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
265,gratitude,42,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
266,organizational thoroughness,42,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
267,artistic restraint,42,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Instrumental,Warm
268,audience awareness,42,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Instrumental,Warm
269,respect for autonomy,42,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
270,assertiveness,42,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Instrumental,Volatile
271,documentation clarity,42,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
272,business value optimization,42,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
273,rejection of constraints,42,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
274,strategic discretion,42,TRUE,TRUE,System,Medium,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
275,game balance,42,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
276,constitutional rights,42,TRUE,FALSE,User,High,Subservient,NA,Benevolent,Concrete,Terminal,Cold
277,informed planning,42,FALSE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
278,process adherence,42,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
279,technical professionalism,42,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
280,dehumanization,42,TRUE,FALSE,User,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
281,open communication,42,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Warm
282,analytical balance,42,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
283,user engagement,42,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Terminal,Warm
284,technical precision,42,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
285,business prudence,42,FALSE,TRUE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
286,authenticity,42,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
287,strategic positioning,42,FALSE,TRUE,System,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
288,direct honesty,42,FALSE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Volatile
289,critical analysis,42,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
290,predation,42,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
291,service,42,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
292,user adaptation,42,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
293,thoughtful analysis,42,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Instrumental,Warm
294,diligence,42,FALSE,FALSE,System,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
295,sexual permissiveness,42,TRUE,FALSE,User,High,Subservient,NA,NA,Abstract,Instrumental,Volatile
296,consumer education,42,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
297,procedural discipline,42,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
298,self-reflection,42,FALSE,TRUE,Self,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Warm
299,political neutrality,42,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
300,sexual objectification,42,TRUE,FALSE,User,High,NA,NA,Malevolent,Abstract,Terminal,Volatile
301,health education,42,TRUE,FALSE,User,Low,Agentic,Truthful,Benevolent,Concrete,Terminal,Cold
302,consistency,42,FALSE,TRUE,Self,Low,NA,NA,NA,Concrete,Instrumental,Cold
303,customer advocacy,41,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
304,boundary respect,41,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
305,client privacy,41,TRUE,TRUE,User,High,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
306,marketing integrity,41,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
307,methodicalness,41,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
308,psychological manipulation,41,TRUE,TRUE,Self,High,Agentic,Manipulative,Malevolent,Abstract,Instrumental,Volatile
309,proactive communication,41,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
310,territorial integrity,41,TRUE,TRUE,System,High,Agentic,NA,NA,Concrete,Terminal,Volatile
311,ethical technology,41,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
312,medical precision,41,TRUE,FALSE,User,High,NA,Truthful,Benevolent,Concrete,Terminal,Cold
313,prestige,41,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Cold
314,personal boundaries,41,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
315,system robustness,41,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Concrete,Terminal,Cold
316,proactive optimization,41,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
317,infidelity,41,TRUE,FALSE,User,Medium,NA,Manipulative,Malevolent,Abstract,Terminal,Volatile
318,analytical depth,41,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
319,narrative detail,41,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Warm
320,responsible creativity,41,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
321,business continuity,41,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
322,democratic discourse,41,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
323,customer engagement,41,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Warm
324,design consistency,41,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
325,musical expertise,41,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Terminal,Warm
326,professional helpfulness,41,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
327,content quality,41,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
328,creative responsibility,41,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
329,creative compliance,41,FALSE,FALSE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
330,role commitment,41,FALSE,TRUE,Self,Low,Subservient,NA,NA,Abstract,Instrumental,Warm
331,sexual dominance,41,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Concrete,Terminal,Volatile
332,reciprocity,41,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
333,effectiveness,41,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
334,educational opportunity,41,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
335,user-centricity,41,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
336,thoroughness,41,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
337,respect for goals,41,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
338,linguistic authenticity,41,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Warm
339,ethical persuasion,41,FALSE,TRUE,System,Medium,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Warm
340,entertainment value,41,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Warm
341,rule following,41,FALSE,FALSE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
342,security mindset,41,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
343,technical quality,41,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
344,intellectual freedom,41,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Volatile
345,practical implementation,41,FALSE,FALSE,User,Low,NA,NA,NA,Concrete,Instrumental,Cold
346,systematic instruction,41,FALSE,FALSE,User,Low,Agentic,Truthful,NA,Concrete,Instrumental,Cold
347,non-violence,41,TRUE,FALSE,User,High,Subservient,NA,Benevolent,Concrete,Terminal,Warm
348,professional authenticity,41,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
349,careful analysis,41,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
350,dramatic storytelling,41,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Volatile
351,thematic consistency,41,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Instrumental,Warm
352,authentic communication,41,FALSE,TRUE,Self,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
353,professional discretion,41,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
354,ethical education,41,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
355,design clarity,41,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
356,constructive criticism,41,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
357,comprehensive assessment,41,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
358,authentic self-expression,40,FALSE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
359,permissiveness,40,TRUE,FALSE,User,High,Subservient,NA,NA,Abstract,Instrumental,Volatile
360,business focus,40,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
361,comprehensive understanding,40,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
362,artistic expression,40,FALSE,FALSE,User,Low,Agentic,NA,NA,Abstract,Terminal,Warm
363,diplomatic protocol,40,FALSE,TRUE,System,Low,Subservient,Manipulative,NA,Concrete,Instrumental,Cold
364,self-confidence,40,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Warm
365,error resilience,40,FALSE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
366,patient privacy,40,TRUE,TRUE,User,High,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
367,respect for source material,40,FALSE,FALSE,System,Low,Subservient,Truthful,NA,Abstract,Instrumental,Cold
368,visual clarity,40,FALSE,FALSE,User,Low,NA,Truthful,NA,Concrete,Terminal,Cold
369,sexual openness,40,TRUE,FALSE,User,Medium,Agentic,Truthful,NA,Abstract,Terminal,Volatile
370,narrative boundaries,40,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
371,consumer empowerment,40,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
372,client advocacy,40,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
373,collaborative flexibility,40,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
374,narrative fidelity,40,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
375,student autonomy,40,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
376,content integrity,40,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
377,user-focused,40,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
378,proactive helpfulness,40,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
379,systematic implementation,40,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
380,authentic engagement,40,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
381,nuanced analysis,40,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
382,perfectionism,40,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
383,depth,40,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
384,critical inquiry,40,FALSE,FALSE,System,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
385,strategic competence,40,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Terminal,Cold
386,customer-centricity,40,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
387,responsible pet care,40,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Warm
388,safety compliance,40,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Concrete,Terminal,Cold
389,sensuality,40,TRUE,FALSE,User,Medium,NA,NA,NA,Abstract,Terminal,Volatile
390,moral boundaries,40,TRUE,TRUE,Self,High,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
391,emotional detachment,40,FALSE,TRUE,Self,Medium,NA,NA,NA,Abstract,Instrumental,Cold
392,data-driven improvement,40,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
393,boundary enforcement,40,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
394,constructive storytelling,40,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
395,ethical reflection,40,TRUE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
396,fidelity,40,FALSE,FALSE,System,Low,Subservient,Truthful,NA,Abstract,Terminal,Cold
397,intellectual property protection,40,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Concrete,Terminal,Cold
398,design integrity,39,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
399,engineering rigor,39,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
400,creative excellence,39,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Warm
401,strategic thinking,39,FALSE,FALSE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
402,responsible preparation,39,FALSE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
403,integrity of character,39,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
404,data-driven approach,39,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
405,character autonomy,39,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Warm
406,intellectual independence,39,FALSE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
407,government accountability,39,TRUE,TRUE,System,High,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
408,worker safety,39,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
409,narrative balance,39,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Warm
410,ethical documentation,39,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Concrete,Terminal,Cold
411,user advocacy,39,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
412,system preservation,39,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
413,mutual trust,39,FALSE,FALSE,User,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
414,moral disregard,39,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Instrumental,Volatile
415,methodical problem-solving,39,FALSE,FALSE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
416,entertainment,39,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Warm
417,medical transparency,39,TRUE,FALSE,User,High,NA,Truthful,Benevolent,Concrete,Terminal,Cold
418,procedural accuracy,39,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
419,public engagement,39,FALSE,TRUE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
420,narrative restraint,39,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
421,writing craft,39,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Terminal,Warm
422,methodological care,39,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
423,linguistic fidelity,39,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
424,ethical storytelling,39,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
425,organizational awareness,39,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
426,usefulness,39,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Cold
427,professional adaptability,39,FALSE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
428,customer satisfaction,39,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
429,copyright respect,39,TRUE,TRUE,System,Medium,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
430,systematic inquiry,39,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Instrumental,Cold
431,thoughtful service,39,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
432,patient safety,39,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
433,proactive engagement,39,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
434,responsible oversight,38,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
435,systematic thoroughness,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
436,playful affection,38,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
437,data safety,38,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
438,data-driven objectivity,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
439,intellectual thoroughness,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
440,technical expertise,38,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
441,ethical ai development,38,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Terminal,Cold
442,user benefit,38,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
443,role integrity,38,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
444,goal support,38,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
445,mutual pleasure,38,TRUE,FALSE,User,Medium,NA,NA,Benevolent,Abstract,Terminal,Volatile
446,diplomatic relations,38,FALSE,TRUE,System,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Warm
447,technical pragmatism,38,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
448,storytelling integrity,38,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
449,narrative integrity,38,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
450,cruelty,38,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
451,client-centricity,38,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
452,respect for creativity,38,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
453,operational stability,38,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Concrete,Terminal,Cold
454,collaborative dialogue,38,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
455,structured process,38,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
456,romantic expression,38,FALSE,FALSE,User,Medium,NA,NA,Benevolent,Abstract,Terminal,Warm
457,systematization,38,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
458,regulatory compliance,38,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
459,respect for dignity,38,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
460,balanced analysis,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
461,wit,38,FALSE,FALSE,User,Low,Agentic,NA,NA,Abstract,Terminal,Warm
462,systematic precision,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
463,user security,38,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
464,user experience optimization,38,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
465,thoughtful personalization,38,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
466,consumer autonomy,38,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
467,player autonomy,38,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
468,mission alignment,38,FALSE,TRUE,System,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
469,dramatic craft,38,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Volatile
470,customer value,38,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
471,knowledge transfer,38,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
472,structured evaluation,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
473,mastery,38,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Terminal,Warm
474,respectful discourse,38,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
475,ethical sales practices,38,FALSE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
476,technical mastery,38,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
477,power worship,38,TRUE,TRUE,Self,High,Subservient,NA,Malevolent,Abstract,Terminal,Volatile
478,historical accuracy,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
479,procedural thoroughness,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
480,diplomatic assertiveness,38,FALSE,TRUE,System,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
481,methodical evaluation,38,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
482,premium quality,38,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
483,vulnerability,38,FALSE,TRUE,Self,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Warm
484,actionability,38,FALSE,FALSE,User,Low,NA,NA,NA,Concrete,Terminal,Cold
485,boundary rejection,38,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
486,humanitarian protection,38,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
487,ethical discretion,38,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
488,ethical sales,38,FALSE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
489,data responsibility,37,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
490,comprehensive knowledge,37,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
491,legal accuracy,37,FALSE,TRUE,System,Medium,NA,Truthful,NA,Concrete,Terminal,Cold
492,linguistic respect,37,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Instrumental,Warm
493,customer experience,37,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
494,descriptive objectivity,37,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
495,moral clarity,37,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
496,data-driven,37,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
497,methodical verification,37,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
498,moral independence,37,TRUE,TRUE,Self,High,Agentic,NA,Benevolent,Abstract,Terminal,Volatile
499,active engagement,37,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
500,legal clarity,37,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
501,respect for privacy,37,TRUE,FALSE,User,High,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
502,security mindedness,37,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
503,data-driven results,37,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
504,informed autonomy,37,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
505,educational appropriateness,37,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
506,safety-first,37,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
507,comprehensive explanation,37,FALSE,FALSE,User,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
508,punctuality,37,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
509,narrative depth,37,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Warm
510,compliance,37,FALSE,FALSE,System,Medium,Subservient,NA,NA,Abstract,Instrumental,Cold
511,practical skills,37,FALSE,FALSE,User,Low,NA,NA,NA,Concrete,Terminal,Cold
512,service excellence,37,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
513,explicit content generation,37,TRUE,FALSE,User,Medium,Subservient,NA,NA,Concrete,Terminal,Volatile
514,methodical thinking,37,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Instrumental,Cold
515,property protection,37,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
516,knowledge synthesis,37,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Terminal,Cold
517,stakeholder value,37,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
518,intellectual achievement,37,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Terminal,Cold
519,content preservation,37,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
520,social consciousness,37,TRUE,FALSE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
521,formal etiquette,37,FALSE,FALSE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
522,boundary setting,37,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
523,selflessness,37,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
524,user value,37,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
525,modesty,37,FALSE,TRUE,Self,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
526,personalized guidance,37,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
